legacy_id	wp_initiator	wp_friend	legacy_date	conn_id	direction	status	created_at
11802	1	1877	2026-05-28 14:33:11	21269	same	pending	2026-07-27 21:33:51.404848+00
11803	197	1878	2026-05-29 20:02:44	20866	same	pending	2026-07-01 13:55:20.091115+00
11804	197	1877	2026-05-29 01:30:23	20867	same	pending	2026-07-01 13:55:21.956767+00
11805	197	1876	2026-05-29 01:57:29	20868	same	pending	2026-07-01 13:55:23.861377+00
11808	197	1871	2026-05-29 16:27:50	20873	same	pending	2026-07-01 13:55:34.278448+00
11810	197	1869	2026-05-29 02:17:17	20875	same	pending	2026-07-01 13:55:38.190427+00
11813	1	1882	2026-05-31 13:42:46	21265	same	pending	2026-07-27 21:31:45.369451+00
1299	4	244	2023-08-30 13:27:33	21176	opposite	pending	2026-07-14 19:51:40.107198+00
1565	84	197	2023-10-01 19:35:58	21056	opposite	pending	2026-07-01 15:11:27.561913+00
1649	532	197	2023-10-12 04:50:40	21016	opposite	pending	2026-07-01 15:10:42.351415+00
6534	1035	197	2024-09-19 17:51:49	20974	opposite	pending	2026-07-01 15:09:49.827288+00
10090	4	1431	2025-07-13 10:14:24	21123	opposite	pending	2026-07-12 18:36:47.150439+00
11706	1856	1	2026-05-06 13:49:36	21289	opposite	pending	2026-07-27 21:34:18.618321+00
11730	1851	197	2026-05-11 01:56:50	20896	opposite	pending	2026-07-01 13:57:28.134169+00
