legacy_id	wp_requester	wp_addressee	requester_uuid	addressee_uuid	created_at
96	84	4	44437c81-4f0e-5d15-951f-96235faa23bc	4d8bc072-b862-53c8-8087-33912a0dedf9	2023-06-20 11:14:25
124	21	84	1286bc83-c9c5-56d4-b803-042e5c04a9b4	44437c81-4f0e-5d15-951f-96235faa23bc	2023-06-21 04:48:27
99	84	69	44437c81-4f0e-5d15-951f-96235faa23bc	fd83caaa-c213-5544-ae8b-b9bcdee13b21	2023-06-21 15:57:15
97	84	9	44437c81-4f0e-5d15-951f-96235faa23bc	c96fae45-fa27-57de-8f83-0df076bfb1a1	2023-06-30 10:51:09
357	69	216	fd83caaa-c213-5544-ae8b-b9bcdee13b21	db7529b5-2567-5d27-897a-82023665cb24	2023-07-03 18:34:34
541	303	237	2cddf5ac-024a-5664-8f48-99572433a9e5	2ebd15c8-3b3e-5e22-af3d-ad0438f4afe2	2023-08-01 18:42:18
100	84	8	44437c81-4f0e-5d15-951f-96235faa23bc	6b3cd71f-54ba-53bb-b59f-3bb01ba836a7	2023-08-11 15:22:59
779	321	218	309bcb16-6b53-524c-9bd1-1eb76957be4d	ad9c1800-c882-58f7-b309-478cd89eef6d	2023-08-29 14:19:39
1293	4	218	4d8bc072-b862-53c8-8087-33912a0dedf9	ad9c1800-c882-58f7-b309-478cd89eef6d	2023-08-29 22:12:13
918	321	195	309bcb16-6b53-524c-9bd1-1eb76957be4d	bdf872ea-7e1e-5334-af7c-2ff76cdd8d46	2023-08-31 23:40:25
1381	4	374	4d8bc072-b862-53c8-8087-33912a0dedf9	1d4aee3c-715c-5c35-acb1-1b1f37311c27	2023-09-03 18:05:12
1071	59	325	d54a69f7-ac56-5e81-bf7c-2a51130b59d1	70849009-16c6-5fd7-a8c0-b08f74708c4a	2023-09-06 18:26:03
741	321	325	309bcb16-6b53-524c-9bd1-1eb76957be4d	70849009-16c6-5fd7-a8c0-b08f74708c4a	2023-09-06 18:26:07
1214	75	84	4e0148ca-cb19-5f43-ac7c-130dc4fe9fc2	44437c81-4f0e-5d15-951f-96235faa23bc	2023-09-21 04:57:21
939	321	84	309bcb16-6b53-524c-9bd1-1eb76957be4d	44437c81-4f0e-5d15-951f-96235faa23bc	2023-09-21 04:57:24
1277	374	112	1d4aee3c-715c-5c35-acb1-1b1f37311c27	262bfc12-8dba-556c-83d2-24264eb70068	2023-09-22 15:53:43
1564	84	206	44437c81-4f0e-5d15-951f-96235faa23bc	0d5ee1bf-fcc7-57a1-92a8-129241c04b9b	2023-09-27 15:37:30
1562	84	386	44437c81-4f0e-5d15-951f-96235faa23bc	ec4fa090-3a75-5a14-b01e-89390ac4380c	2023-09-29 16:39:31
1575	84	40	44437c81-4f0e-5d15-951f-96235faa23bc	65f1a19e-5757-524d-bee0-57910537736f	2023-09-30 21:40:07
724	321	242	309bcb16-6b53-524c-9bd1-1eb76957be4d	1f2f0a42-7e2c-5047-a87b-0195d6ca1781	2023-10-07 18:42:17
1563	84	94	44437c81-4f0e-5d15-951f-96235faa23bc	3aa726b4-2e73-59e9-9741-0894df80837a	2023-10-16 18:44:51
1712	561	529	5304799f-3336-5fc0-aa2e-627f88822694	3ebab183-ff0a-587c-a891-85b8d4340ae6	2023-10-22 21:43:10
1688	4	529	4d8bc072-b862-53c8-8087-33912a0dedf9	3ebab183-ff0a-587c-a891-85b8d4340ae6	2023-10-22 21:43:12
1569	84	137	44437c81-4f0e-5d15-951f-96235faa23bc	7bace71d-82c5-5910-8f21-fcd738c14438	2023-11-02 10:30:07
1741	561	439	5304799f-3336-5fc0-aa2e-627f88822694	bbed65f9-964f-555a-8116-5039399e83f8	2023-11-02 17:09:13
1572	84	135	44437c81-4f0e-5d15-951f-96235faa23bc	0b017330-f4da-5283-9771-b16cfb7b0c44	2023-11-06 19:25:18
1644	532	135	1b42cfe1-1395-5082-998c-d69a0750010e	0b017330-f4da-5283-9771-b16cfb7b0c44	2023-11-06 19:25:21
1646	532	42	1b42cfe1-1395-5082-998c-d69a0750010e	626b0e10-031a-58e5-baf5-0214f3028f8f	2023-11-08 00:55:35
1651	532	114	1b42cfe1-1395-5082-998c-d69a0750010e	8a8dd6e0-80b7-5721-8adf-64800605e7a7	2023-11-11 03:12:49
1566	84	114	44437c81-4f0e-5d15-951f-96235faa23bc	8a8dd6e0-80b7-5721-8adf-64800605e7a7	2023-11-11 03:12:51
1571	84	288	44437c81-4f0e-5d15-951f-96235faa23bc	3d9196ad-3085-5bec-ba42-e02f4c48fa7e	2023-11-19 14:05:18
1574	84	15	44437c81-4f0e-5d15-951f-96235faa23bc	65d4d6f6-876e-5499-96aa-c13ef73ef961	2023-11-29 00:52:42
951	321	216	309bcb16-6b53-524c-9bd1-1eb76957be4d	db7529b5-2567-5d27-897a-82023665cb24	2023-12-19 09:03:35
1215	75	216	4e0148ca-cb19-5f43-ac7c-130dc4fe9fc2	db7529b5-2567-5d27-897a-82023665cb24	2023-12-19 09:03:36
1169	225	216	ed73975f-9fa7-5f68-b924-d500dcecedb9	db7529b5-2567-5d27-897a-82023665cb24	2023-12-19 09:03:37
1647	532	349	1b42cfe1-1395-5082-998c-d69a0750010e	8f2400eb-7739-51a3-acbd-b57c99b68053	2023-12-20 11:35:49
1803	130	506	28950a66-4337-5c7b-87b5-cb0c03429e9b	241c12b3-e752-5dd1-a6e8-69c1b3cdf54e	2023-12-22 16:42:34
2170	195	222	bdf872ea-7e1e-5334-af7c-2ff76cdd8d46	6c04a887-f31e-5ee6-a79b-06f57a62949c	2024-02-05 18:19:07
2238	735	218	1ccc5742-6683-5ce4-a41b-48882b0e481d	ad9c1800-c882-58f7-b309-478cd89eef6d	2024-02-16 03:11:41
2244	735	135	1ccc5742-6683-5ce4-a41b-48882b0e481d	0b017330-f4da-5283-9771-b16cfb7b0c44	2024-02-17 00:29:12
2234	735	44	1ccc5742-6683-5ce4-a41b-48882b0e481d	9e24f7ca-bee2-5b61-b50c-4f476d83c7bc	2024-02-18 19:19:48
1645	532	92	1b42cfe1-1395-5082-998c-d69a0750010e	9100eb89-f02b-5ead-b9e8-4ccaa3de0b3a	2024-02-29 18:14:30
2242	735	364	1ccc5742-6683-5ce4-a41b-48882b0e481d	b98cd83a-95cb-57ec-8f9c-857709b4f125	2024-03-06 22:05:28
2330	775	321	ddf77a3f-fd93-569e-b8b5-a939a027c3de	309bcb16-6b53-524c-9bd1-1eb76957be4d	2024-03-07 14:27:05
2255	735	241	1ccc5742-6683-5ce4-a41b-48882b0e481d	df87ffa1-daf2-5324-9bee-dcdd2a63c625	2024-03-08 19:10:55
928	321	241	309bcb16-6b53-524c-9bd1-1eb76957be4d	df87ffa1-daf2-5324-9bee-dcdd2a63c625	2024-03-08 19:10:57
2226	735	206	1ccc5742-6683-5ce4-a41b-48882b0e481d	0d5ee1bf-fcc7-57a1-92a8-129241c04b9b	2024-03-17 16:48:55
2233	735	590	1ccc5742-6683-5ce4-a41b-48882b0e481d	0297054d-178c-5fdc-a5e5-c7a4c4a7b27b	2024-03-19 17:11:23
1085	59	303	d54a69f7-ac56-5e81-bf7c-2a51130b59d1	2cddf5ac-024a-5664-8f48-99572433a9e5	2024-03-19 19:01:32
2721	16	303	74cd75bc-0ba3-551f-bfe1-62e1b27472af	2cddf5ac-024a-5664-8f48-99572433a9e5	2024-03-19 19:01:37
774	321	303	309bcb16-6b53-524c-9bd1-1eb76957be4d	2cddf5ac-024a-5664-8f48-99572433a9e5	2024-03-19 19:01:42
1643	532	8	1b42cfe1-1395-5082-998c-d69a0750010e	6b3cd71f-54ba-53bb-b59f-3bb01ba836a7	2024-03-19 21:30:32
